item_id,store_id,cat_id,total_sales,avg_price,total_revenue,avg_daily_sales,projected_annual_value,value_segment
FOODS_1_001,CA_1,FOODS,12,2.1693617021276594,26.032340425531913,1.0909090909090908,863.8,Low
FOODS_1_001,CA_2,FOODS,21,2.1693617021276594,45.55659574468085,1.3125,1039.26,Low
FOODS_1_001,CA_3,FOODS,18,2.158262411347517,38.84872340425532,1.0588235294117647,834.1,Low
FOODS_1_001,CA_4,FOODS,5,2.1693617021276594,10.846808510638297,0.3125,247.44,Low
FOODS_1_001,TX_1,FOODS,9,2.157624113475177,19.418617021276596,0.6,472.52,Low
FOODS_1_001,TX_2,FOODS,10,2.1685106382978727,21.685106382978727,1.25,989.38,Low
FOODS_1_001,TX_3,FOODS,9,2.1691103202846977,19.52199288256228,0.6,475.04,Low
FOODS_1_001,WI_1,FOODS,10,2.1685106382978727,21.685106382978727,0.47619047619047616,376.91,Low
FOODS_1_001,WI_2,FOODS,8,2.1693617021276594,17.354893617021276,0.6153846153846154,487.27,Low
FOODS_1_001,WI_3,FOODS,10,2.1667730496453905,21.667730496453906,0.6666666666666666,527.25,Low
FOODS_1_002,CA_1,FOODS,15,8.93744680851064,134.0617021276596,0.5769230769230769,1882.02,Low
FOODS_1_002,CA_2,FOODS,10,8.861560283687943,88.61560283687943,0.6666666666666666,2156.31,Low
FOODS_1_002,CA_3,FOODS,10,8.935319148936172,89.35319148936172,0.37037037037037035,1207.92,Low
FOODS_1_002,CA_4,FOODS,5,8.94099290780142,44.70496453900709,0.3125,1019.83,Low
FOODS_1_002,TX_1,FOODS,5,8.92761565836299,44.63807829181495,0.38461538461538464,1253.3,Low
FOODS_1_002,TX_2,FOODS,6,8.938865248226952,53.63319148936171,0.2857142857142857,932.2,Low
FOODS_1_002,TX_3,FOODS,4,8.935319148936172,35.74127659574469,0.2857142857142857,931.83,Low
FOODS_1_002,WI_1,FOODS,12,8.93744680851064,107.24936170212767,1.3333333333333333,4349.56,Low
FOODS_1_002,WI_2,FOODS,3,8.988510638297873,26.96553191489362,0.1875,615.15,Low
FOODS_1_002,WI_3,FOODS,9,8.936028368794327,80.42425531914894,0.42857142857142855,1397.85,Low
FOODS_1_003,CA_1,FOODS,13,2.976808510638297,38.69851063829786,0.7222222222222222,784.72,Low
FOODS_1_003,CA_2,FOODS,26,2.976808510638297,77.39702127659574,2.888888888888889,3138.88,Low
FOODS_1_003,CA_3,FOODS,19,2.9755673758865253,56.53578014184397,0.8636363636363636,937.98,Low
FOODS_1_003,CA_4,FOODS,3,2.975567375886525,8.926702127659574,0.21428571428571427,232.73,Low
FOODS_1_003,TX_1,FOODS,6,2.9742198581560286,17.84531914893617,0.375,407.1,Low
FOODS_1_003,TX_2,FOODS,6,2.975567375886525,17.85340425531915,0.2857142857142857,310.31,Low
FOODS_1_003,TX_3,FOODS,2,2.96936170212766,5.93872340425532,0.125,135.48,Low
