item_id,store_id,cat_id,avg_daily_demand,std_demand,avg_price,total_sales,safety_stock,reorder_point,order_quantity,monthly_revenue,projected_annual_value,value_segment,cumulative_pct,abc_class,stockout_risk_score
FOODS_3_120,CA_3,FOODS,23.005873921924977,27.60870472998033,4.975652173913043,554,120.0,281.0,690.0,3434.08,71866.19,Premium,0.003279763857002296,A,0.19
FOODS_3_586,TX_2,FOODS,103.13601910039073,30.97213315705817,1.5959574468085107,1960,135.0,857.0,3094.0,4938.02,67161.64,Premium,0.006559527714004592,A,0.76
FOODS_3_090,CA_3,FOODS,99.57700592990128,68.6762894451829,1.3476241134751772,2636,299.0,996.0,2987.0,4025.77,61743.0,Premium,0.009839291571006888,A,0.33
FOODS_3_587,CA_3,FOODS,43.97079185600416,26.008331686507105,2.505886524822695,667,113.0,421.0,1319.0,3305.57,50839.22,Premium,0.013119055428009185,A,0.39
FOODS_3_120,CA_1,FOODS,14.614141475838885,16.85331042821029,4.98,350,73.0,175.0,438.0,2183.35,48938.08,Premium,0.016398819285011478,A,0.2
FOODS_3_586,TX_3,FOODS,73.41431417999823,22.31346160836472,1.5959574468085105,1660,97.0,611.0,2202.0,3514.98,46047.17,Premium,0.019678583142013775,A,0.75
FOODS_3_134,WI_2,FOODS,13.9215252656635,11.622072080920846,6.619112903225807,298,51.0,148.0,418.0,2764.44,42350.64,Premium,0.02295834699901607,A,0.27
FOODS_3_586,CA_3,FOODS,69.24118560630865,19.487041181313323,1.5956028368794326,1159,85.0,570.0,2077.0,3314.44,42187.24,Premium,0.02623811085601837,A,0.81
FOODS_3_202,TX_2,FOODS,21.447111782931664,9.859383689925515,4.17563829787234,710,43.0,193.0,643.0,2686.66,41619.87,Premium,0.02951787471302066,A,0.49
FOODS_3_444,TX_2,FOODS,7.743749300613544,9.715231967940303,6.617866666666667,153,42.0,96.0,232.0,1537.41,41063.86,Premium,0.032797638570022956,A,0.18
FOODS_3_252,TX_2,FOODS,62.01616974664052,21.387083421202465,1.5204255319148936,1186,93.0,527.0,1860.0,2828.73,36565.39,Premium,0.03607740242702526,A,0.66
FOODS_1_096,TX_3,FOODS,9.188490810183229,7.83843251819862,6.390851063829787,231,34.0,98.0,276.0,1761.67,35922.97,Premium,0.03935716628402755,A,0.26
FOODS_3_090,CA_1,FOODS,66.06644677729689,48.549657976386335,1.38854609929078,1680,211.0,673.0,1982.0,2752.09,35477.35,Premium,0.04263693014102985,A,0.31
FOODS_3_202,CA_1,FOODS,16.549116210805753,5.925961572779018,4.32645390070922,328,26.0,142.0,496.0,2147.97,34530.87,Premium,0.04591669399803214,A,0.61
HOBBIES_1_158,TX_3,HOBBIES,1.0639898483094958,3.335410835797,22.98,52,15.0,22.0,32.0,733.51,33550.8,Premium,0.04919645785503444,A,0.07
FOODS_1_096,WI_2,FOODS,5.708119675498765,4.841990641498209,7.988191489361703,217,21.0,61.0,171.0,1367.93,33300.25,Premium,0.05247622171203674,A,0.26
HOUSEHOLD_1_272,CA_3,HOUSEHOLD,6.188797058236563,2.828146485463296,9.847411347517731,163,12.0,55.0,186.0,1828.31,32548.43,Premium,0.05575598556903903,A,0.48
FOODS_3_202,TX_1,FOODS,9.710547442704735,6.068208818974637,4.189503546099291,127,26.0,94.0,291.0,1220.47,32367.41,Premium,0.05903574942604132,A,0.36
HOUSEHOLD_1_053,CA_3,HOUSEHOLD,3.8700978639978745,1.5326426651986826,14.99836879432624,112,7.0,34.0,116.0,1741.35,32270.17,Premium,0.062315513283043626,A,0.48
FOODS_3_090,WI_3,FOODS,49.03698500412498,46.99779056438292,1.3368439716312055,919,205.0,548.0,1471.0,1966.64,32030.3,Premium,0.06559527714004591,A,0.24
HOUSEHOLD_1_535,CA_3,HOUSEHOLD,9.814083410457464,4.4466223159003695,6.923571428571428,339,19.0,88.0,294.0,2038.46,31729.19,Premium,0.06887504099704822,A,0.49
FOODS_2_197,CA_3,FOODS,21.396484322278543,10.276721110141365,3.240921985815602,492,45.0,195.0,642.0,2080.33,30631.83,Premium,0.07215480485405051,A,0.47
FOODS_3_090,TX_2,FOODS,47.67859554459878,31.787236756150897,1.3785106382978725,667,138.0,472.0,1430.0,1971.76,30509.57,Premium,0.0754345687110528,A,0.34
FOODS_3_252,TX_3,FOODS,40.9261222702815,24.350912644665613,1.5204255319148936,383,106.0,392.0,1228.0,1866.75,30363.98,Premium,0.0787143325680551,A,0.38
FOODS_3_586,TX_1,FOODS,47.42794776389651,21.42739949095152,1.5959574468085107,1144,93.0,425.0,1423.0,2270.79,30291.27,Premium,0.0819940964250574,A,0.5
HOBBIES_1_236,CA_1,HOBBIES,4.513345414971699,3.0777480146783587,11.807934782608696,83,13.0,45.0,135.0,1598.8,29810.12,High,0.0852738602820597,A,0.32
FOODS_3_226,WI_3,FOODS,44.60889364772096,15.12497069294513,1.605177304964539,913,66.0,378.0,1338.0,2148.16,29717.63,High,0.08855362413906198,A,0.67
FOODS_2_276,CA_3,FOODS,15.797742211612134,9.304170660605465,3.240921985815602,298,40.0,151.0,474.0,1535.98,29376.26,High,0.09183338799606428,A,0.39
FOODS_3_444,TX_3,FOODS,11.493770836740117,12.524120333795889,6.604444444444445,194,55.0,135.0,345.0,2277.3,29228.79,High,0.09511315185306658,A,0.21
FOODS_3_586,CA_1,FOODS,46.67968225256473,15.110962523988976,1.5959574468085107,938,66.0,393.0,1400.0,2234.96,28758.31,High,0.09839291571006888,A,0.7
FOODS_3_202,CA_3,FOODS,14.887574851399595,7.729835889045075,4.230425531914894,279,34.0,138.0,447.0,1889.42,28720.36,High,0.10167267956707117,A,0.43
FOODS_2_244,CA_3,FOODS,10.017255189514083,4.848096335197695,5.815531914893617,255,21.0,91.0,301.0,1747.67,28488.45,High,0.10495244342407348,A,0.46
FOODS_3_694,WI_3,FOODS,45.37145557940239,15.20032695048693,1.605177304964539,1066,66.0,384.0,1361.0,2184.88,28389.02,High,0.10823220728107576,A,0.68
FOODS_3_586,WI_3,FOODS,44.42296531041909,17.03372153417872,1.5959574468085107,731,74.0,385.0,1333.0,2126.91,28388.36,High,0.11151197113807806,A,0.59
FOODS_3_202,WI_3,FOODS,12.090358139892672,5.670167246342002,4.290141843971632,380,25.0,110.0,363.0,1556.08,28335.37,High,0.11479173499508036,A,0.47
HOBBIES_1_354,TX_2,HOBBIES,0.99769264157598,2.064198507203016,23.259069767441865,42,9.0,16.0,30.0,696.16,27427.81,High,0.11807149885208264,A,0.1
HOUSEHOLD_1_494,CA_3,HOUSEHOLD,5.684763909916193,2.8862105039050427,7.97,122,13.0,53.0,171.0,1359.23,27300.32,High,0.12135126270908494,A,0.41
FOODS_3_555,TX_2,FOODS,40.52895609998714,15.957376316856422,1.5959574468085107,604,69.0,353.0,1216.0,1940.47,27064.98,High,0.12463102656608725,A,0.58
HOBBIES_1_158,TX_2,HOBBIES,1.3362618957208152,2.119577113808787,21.56450704225352,48,9.0,18.0,40.0,864.47,26986.44,High,0.12791079042308953,A,0.13
FOODS_1_012,CA_2,FOODS,10.051493588845368,6.62082185908361,5.5043750000000005,317,29.0,99.0,302.0,1659.82,26536.82,High,0.13119055428009183,A,0.34
