year,cat_id,sell_price
2011,FOODS,3.0979158454748803
2011,HOBBIES,4.664144923009651
2011,HOUSEHOLD,5.558038867089783
2012,FOODS,3.222533593814234
2012,HOBBIES,4.995641777089006
2012,HOUSEHOLD,5.5168423393373365
2013,FOODS,3.2297156285398683
2013,HOBBIES,5.331626447231896
2013,HOUSEHOLD,5.404291138785253
2014,FOODS,3.237801732979133
2014,HOBBIES,5.534243655069998
2014,HOUSEHOLD,5.435199927887126
2015,FOODS,3.32223130964203
2015,HOBBIES,5.56350014787691
2015,HOUSEHOLD,5.4624272275213395
2016,FOODS,3.3432984835048885
2016,HOBBIES,5.546256865543819
2016,HOUSEHOLD,5.472200548519306
