year,week,cat_id,weekly_sales
2011,4,FOODS,45936
2011,4,HOBBIES,7121
2011,4,HOUSEHOLD,11323
2011,5,FOODS,145851
2011,5,HOBBIES,20214
2011,5,HOUSEHOLD,30165
2011,6,FOODS,141740
2011,6,HOBBIES,20257
2011,6,HOUSEHOLD,31718
2011,7,FOODS,120641
2011,7,HOBBIES,18410
2011,7,HOUSEHOLD,33277
2011,8,FOODS,114126
2011,8,HOBBIES,19392
2011,8,HOUSEHOLD,33127
2011,9,FOODS,130587
2011,9,HOBBIES,14678
2011,9,HOUSEHOLD,34018
2011,10,FOODS,128823
2011,10,HOBBIES,20447
2011,10,HOUSEHOLD,32444
2011,11,FOODS,122932
2011,11,HOBBIES,19755
2011,11,HOUSEHOLD,34910
2011,12,FOODS,111979
2011,12,HOBBIES,19833
2011,12,HOUSEHOLD,32701
2011,13,FOODS,121015
2011,13,HOBBIES,21793
2011,13,HOUSEHOLD,33737
2011,14,FOODS,129467
2011,14,HOBBIES,20335
2011,14,HOUSEHOLD,32223
2011,15,FOODS,123350
2011,15,HOBBIES,19998
2011,15,HOUSEHOLD,32777
2011,16,FOODS,110804
2011,16,HOBBIES,17479
2011,16,HOUSEHOLD,31408
2011,17,FOODS,100337
2011,17,HOBBIES,20724
2011,17,HOUSEHOLD,33011
2011,18,FOODS,114551
2011,18,HOBBIES,19920
2011,18,HOUSEHOLD,30977
2011,19,FOODS,122750
2011,19,HOBBIES,21045
2011,19,HOUSEHOLD,33742
2011,20,FOODS,103543
2011,20,HOBBIES,19695
2011,20,HOUSEHOLD,31049
2011,21,FOODS,102581
2011,21,HOBBIES,19025
2011,21,HOUSEHOLD,29546
2011,22,FOODS,122670
2011,22,HOBBIES,18392
2011,22,HOUSEHOLD,35572
2011,23,FOODS,134305
2011,23,HOBBIES,20081
2011,23,HOUSEHOLD,34076
2011,24,FOODS,124439
2011,24,HOBBIES,20189
2011,24,HOUSEHOLD,32886
2011,25,FOODS,115785
2011,25,HOBBIES,19761
2011,25,HOUSEHOLD,33494
2011,26,FOODS,123605
2011,26,HOBBIES,20616
2011,26,HOUSEHOLD,32809
2011,27,FOODS,138547
2011,27,HOBBIES,20127
2011,27,HOUSEHOLD,35988
2011,28,FOODS,132820
2011,28,HOBBIES,19633
2011,28,HOUSEHOLD,34215
2011,29,FOODS,122688
2011,29,HOBBIES,20348
2011,29,HOUSEHOLD,34238
2011,30,FOODS,114079
2011,30,HOBBIES,19491
2011,30,HOUSEHOLD,34439
2011,31,FOODS,135733
2011,31,HOBBIES,20314
2011,31,HOUSEHOLD,37544
2011,32,FOODS,141460
2011,32,HOBBIES,19610
2011,32,HOUSEHOLD,36239
2011,33,FOODS,136544
2011,33,HOBBIES,19517
2011,33,HOUSEHOLD,38008
2011,34,FOODS,122144
2011,34,HOBBIES,19019
2011,34,HOUSEHOLD,35404
2011,35,FOODS,126182
2011,35,HOBBIES,18031
2011,35,HOUSEHOLD,36409
2011,36,FOODS,142491
2011,36,HOBBIES,19018
2011,36,HOUSEHOLD,39184
2011,37,FOODS,136701
2011,37,HOBBIES,17851
2011,37,HOUSEHOLD,37241
2011,38,FOODS,128815
2011,38,HOBBIES,17949
2011,38,HOUSEHOLD,36333
2011,39,FOODS,139181
2011,39,HOBBIES,19976
2011,39,HOUSEHOLD,39005
2011,40,FOODS,154718
2011,40,HOBBIES,19362
2011,40,HOUSEHOLD,36323
2011,41,FOODS,156503
2011,41,HOBBIES,19751
2011,41,HOUSEHOLD,38542
2011,42,FOODS,133759
2011,42,HOBBIES,19258
2011,42,HOUSEHOLD,36777
2011,43,FOODS,127534
2011,43,HOBBIES,20208
2011,43,HOUSEHOLD,36287
2011,44,FOODS,145009
2011,44,HOBBIES,21092
2011,44,HOUSEHOLD,38713
2011,45,FOODS,150421
2011,45,HOBBIES,18836
2011,45,HOUSEHOLD,36473
2011,46,FOODS,138248
2011,46,HOBBIES,18998
2011,46,HOUSEHOLD,36075
2011,47,FOODS,127715
2011,47,HOBBIES,16595
2011,47,HOUSEHOLD,32556
2011,48,FOODS,137657
2011,48,HOBBIES,21482
2011,48,HOUSEHOLD,35114
2011,49,FOODS,154699
2011,49,HOBBIES,19814
2011,49,HOUSEHOLD,33741
2011,50,FOODS,154958
2011,50,HOBBIES,19639
2011,50,HOUSEHOLD,33036
2011,51,FOODS,128760
2011,51,HOBBIES,16885
2011,51,HOUSEHOLD,27146
2011,52,FOODS,119681
2011,52,HOBBIES,17187
2011,52,HOUSEHOLD,32550
2012,1,FOODS,187804
2012,1,HOBBIES,21851
2012,1,HOUSEHOLD,45775
2012,2,FOODS,158509
2012,2,HOBBIES,18603
2012,2,HOUSEHOLD,34230
2012,3,FOODS,146295
2012,3,HOBBIES,18538
2012,3,HOUSEHOLD,35653
2012,4,FOODS,134563
2012,4,HOBBIES,19379
2012,4,HOUSEHOLD,35092
2012,5,FOODS,164269
2012,5,HOBBIES,20903
2012,5,HOUSEHOLD,41814
2012,6,FOODS,170734
2012,6,HOBBIES,19797
2012,6,HOUSEHOLD,40288
2012,7,FOODS,150875
2012,7,HOBBIES,19271
2012,7,HOUSEHOLD,39266
2012,8,FOODS,144322
2012,8,HOBBIES,19530
2012,8,HOUSEHOLD,40802
2012,9,FOODS,157710
2012,9,HOBBIES,20853
2012,9,HOUSEHOLD,42287
2012,10,FOODS,172675
2012,10,HOBBIES,19902
2012,10,HOUSEHOLD,42518
2012,11,FOODS,165558
2012,11,HOBBIES,19181
2012,11,HOUSEHOLD,42004
2012,12,FOODS,151193
2012,12,HOBBIES,19318
2012,12,HOUSEHOLD,40438
2012,13,FOODS,149383
2012,13,HOBBIES,19790
2012,13,HOUSEHOLD,40298
2012,14,FOODS,184208
2012,14,HOBBIES,19529
2012,14,HOUSEHOLD,39734
2012,15,FOODS,166387
2012,15,HOBBIES,20795
2012,15,HOUSEHOLD,40945
2012,16,FOODS,147638
2012,16,HOBBIES,19005
2012,16,HOUSEHOLD,38234
2012,17,FOODS,143872
2012,17,HOBBIES,19675
2012,17,HOUSEHOLD,37697
2012,18,FOODS,171789
2012,18,HOBBIES,21026
2012,18,HOUSEHOLD,40691
2012,19,FOODS,178370
2012,19,HOBBIES,15870
2012,19,HOUSEHOLD,35493
2012,20,FOODS,174228
2012,20,HOBBIES,16419
2012,20,HOUSEHOLD,38448
2012,21,FOODS,160175
2012,21,HOBBIES,16249
2012,21,HOUSEHOLD,38358
2012,22,FOODS,177703
2012,22,HOBBIES,21519
2012,22,HOUSEHOLD,47146
2012,23,FOODS,194344
2012,23,HOBBIES,21283
2012,23,HOUSEHOLD,42949
2012,24,FOODS,194962
2012,24,HOBBIES,20408
2012,24,HOUSEHOLD,51327
2012,25,FOODS,172830
2012,25,HOBBIES,20811
2012,25,HOUSEHOLD,51654
2012,26,FOODS,165488
2012,26,HOBBIES,20396
2012,26,HOUSEHOLD,51474
2012,27,FOODS,197879
2012,27,HOBBIES,17421
2012,27,HOUSEHOLD,51263
2012,28,FOODS,186547
2012,28,HOBBIES,20763
2012,28,HOUSEHOLD,49815
2012,29,FOODS,168014
2012,29,HOBBIES,21650
2012,29,HOUSEHOLD,48452
2012,30,FOODS,156513
2012,30,HOBBIES,17123
2012,30,HOUSEHOLD,46174
2012,31,FOODS,180846
2012,31,HOBBIES,17886
2012,31,HOUSEHOLD,52758
2012,32,FOODS,193076
2012,32,HOBBIES,16272
2012,32,HOUSEHOLD,53723
2012,33,FOODS,187765
2012,33,HOBBIES,17123
2012,33,HOUSEHOLD,55698
2012,34,FOODS,163653
2012,34,HOBBIES,16245
2012,34,HOUSEHOLD,54221
2012,35,FOODS,165670
2012,35,HOBBIES,17456
2012,35,HOUSEHOLD,56301
2012,36,FOODS,187183
2012,36,HOBBIES,17278
2012,36,HOUSEHOLD,61014
2012,37,FOODS,177713
2012,37,HOBBIES,16881
2012,37,HOUSEHOLD,58512
2012,38,FOODS,157629
2012,38,HOBBIES,17462
2012,38,HOUSEHOLD,58552
2012,39,FOODS,152076
2012,39,HOBBIES,16749
2012,39,HOUSEHOLD,55866
2012,40,FOODS,178774
2012,40,HOBBIES,17933
2012,40,HOUSEHOLD,56759
2012,41,FOODS,173897
2012,41,HOBBIES,17028
2012,41,HOUSEHOLD,54642
