item_id,store_id,cat_id,avg_daily_demand,std_demand,avg_price,total_sales,safety_stock,reorder_point,order_quantity,monthly_revenue
FOODS_1_001,CA_1,FOODS,1.0060904615782642,0.290797199654296,2.1693617021276594,12,1.0,8.0,30.0,65.48
FOODS_1_001,CA_2,FOODS,1.2225309995914722,0.6159792226052968,2.1693617021276594,21,3.0,12.0,37.0,79.56
FOODS_1_001,CA_3,FOODS,1.2268541674064335,0.48764024849995036,2.158262411347517,18,2.0,11.0,37.0,79.44
FOODS_1_001,CA_4,FOODS,0.5994258788584668,0.2420100288099751,2.1693617021276594,5,1.0,5.0,18.0,39.01
FOODS_1_001,TX_1,FOODS,0.8660560315436246,0.40986878492880197,2.157624113475177,9,2.0,8.0,26.0,56.06
FOODS_1_001,TX_2,FOODS,1.220836474965558,1.0074009420260264,2.1685106382978727,10,4.0,13.0,37.0,79.42
FOODS_1_001,TX_3,FOODS,0.7938899687325809,0.31919355103745534,2.1691103202846977,9,1.0,7.0,24.0,51.66
FOODS_1_001,WI_1,FOODS,0.7560287974967884,0.4255167177457902,2.1685106382978727,10,2.0,7.0,23.0,49.18
FOODS_1_001,WI_2,FOODS,0.7418568414512238,0.2927652122284695,2.1693617021276594,8,1.0,6.0,22.0,48.28
FOODS_1_001,WI_3,FOODS,0.9993590820082988,0.5931987426272551,2.1667730496453905,10,3.0,10.0,30.0,64.96
FOODS_1_002,CA_1,FOODS,0.705925196020208,0.3607445076620126,8.93744680851064,15,2.0,7.0,21.0,189.28
FOODS_1_002,CA_2,FOODS,0.5964803016446613,0.32451468868420996,8.861560283687943,10,1.0,5.0,18.0,158.57
FOODS_1_002,CA_3,FOODS,0.7099021481969667,0.24942682697498905,8.935319148936172,10,1.0,6.0,21.0,190.3
FOODS_1_002,CA_4,FOODS,0.4303689352711818,0.1773332913084575,8.94099290780142,5,1.0,4.0,13.0,115.44
FOODS_1_002,TX_1,FOODS,0.5024269189655755,0.27718410000943483,8.92761565836299,5,1.0,5.0,15.0,134.56
FOODS_1_002,TX_2,FOODS,0.453954685910722,0.23408543929578085,8.938865248226952,6,1.0,4.0,14.0,121.74
FOODS_1_002,TX_3,FOODS,0.43909922688706576,0.20375675347499872,8.935319148936172,4,1.0,4.0,13.0,117.7
FOODS_1_002,WI_1,FOODS,1.0785951407546683,0.7903885866587049,8.93744680851064,12,3.0,11.0,32.0,289.2
