year,month,store_id,monthly_sales
2011,1,CA_1,11308
2011,1,CA_2,8661
2011,1,CA_3,13351
2011,1,CA_4,4788
2011,1,TX_1,7065
2011,1,TX_2,10520
2011,1,TX_3,8261
2011,1,WI_1,6460
2011,1,WI_2,6196
2011,1,WI_3,11553
2011,2,CA_1,89434
2011,2,CA_2,67686
2011,2,CA_3,119792
2011,2,CA_4,41189
2011,2,TX_1,62534
2011,2,TX_2,84900
2011,2,TX_3,64581
2011,2,WI_1,46592
2011,2,WI_2,51708
2011,2,WI_3,97959
2011,3,CA_1,93468
2011,3,CA_2,73964
2011,3,CA_3,127344
2011,3,CA_4,44902
2011,3,TX_1,66890
2011,3,TX_2,89902
2011,3,TX_3,68370
2011,3,WI_1,49747
2011,3,WI_2,51113
2011,3,WI_3,97867
2011,4,CA_1,91553
2011,4,CA_2,72803
2011,4,CA_3,122428
2011,4,CA_4,44220
2011,4,TX_1,66435
2011,4,TX_2,87683
2011,4,TX_3,66563
2011,4,WI_1,46898
2011,4,WI_2,47651
2011,4,WI_3,91479
2011,5,CA_1,87988
2011,5,CA_2,68305
2011,5,CA_3,120711
2011,5,CA_4,44562
2011,5,TX_1,67920
2011,5,TX_2,86128
2011,5,TX_3,67572
2011,5,WI_1,45269
2011,5,WI_2,45487
2011,5,WI_3,85620
2011,6,CA_1,90376
2011,6,CA_2,69380
2011,6,CA_3,129867
2011,6,CA_4,43325
2011,6,TX_1,69945
2011,6,TX_2,89914
2011,6,TX_3,75794
2011,6,WI_1,46776
2011,6,WI_2,50737
2011,6,WI_3,87266
2011,7,CA_1,96761
2011,7,CA_2,79056
2011,7,CA_3,139377
2011,7,CA_4,46989
2011,7,TX_1,75252
2011,7,TX_2,97076
2011,7,TX_3,83800
2011,7,WI_1,49447
2011,7,WI_2,54426
2011,7,WI_3,97636
2011,8,CA_1,95113
2011,8,CA_2,75129
2011,8,CA_3,144376
2011,8,CA_4,46818
2011,8,TX_1,79759
2011,8,TX_2,102564
2011,8,TX_3,86326
2011,8,WI_1,46683
2011,8,WI_2,51072
2011,8,WI_3,97854
2011,9,CA_1,92339
2011,9,CA_2,74779
2011,9,CA_3,142568
2011,9,CA_4,51608
2011,9,TX_1,75458
2011,9,TX_2,98961
2011,9,TX_3,81752
2011,9,WI_1,47537
2011,9,WI_2,49721
2011,9,WI_3,98960
2011,10,CA_1,105153
2011,10,CA_2,81947
2011,10,CA_3,160365
2011,10,CA_4,58868
2011,10,TX_1,79432
2011,10,TX_2,109783
2011,10,TX_3,87136
2011,10,WI_1,52114
2011,10,WI_2,52652
