ds,yhat,yhat_lower,yhat_upper
2011-01-29,21.09440674166535,-7.2371664949440335,47.35365472468054
2011-01-30,20.671098242948865,-5.461856531285236,47.549300036791486
2011-01-31,15.479434555971462,-12.394358283283157,43.30306725716887
2011-02-01,13.813834859577257,-13.487435339670572,40.20134322264515
2011-02-02,13.745258057524696,-13.270519899490298,41.224329739512854
2011-02-03,15.561536296750253,-11.52980823381087,42.75073031039842
2011-02-04,17.265741503102923,-9.021770797940937,44.31166201877972
2011-02-05,21.158264118216806,-6.560877787401706,48.53631680221857
2011-02-06,20.77929721136152,-4.790367837753122,48.17013760004694
2011-02-07,15.601340780849618,-11.222908772603223,43.55872931980646
2011-02-08,13.96911259474069,-12.224591644245178,41.87608948133264
2011-02-09,13.941051374280699,-13.664039282581685,39.38204903497731
2011-02-10,15.806186986162025,-10.591580308164563,44.30823019274061
2011-02-11,17.554868814771428,-7.728123386401097,46.12404336410371
2011-02-12,21.501179254157993,-4.6459273612101155,48.9682310312609
2011-02-13,21.145456435424066,-4.731416361281894,49.20876613074228
2011-02-14,15.956781978699265,-11.317617902136401,43.945848527422314
2011-02-15,14.33067046971046,-12.080412859289812,40.31944701723059
2011-02-16,14.313494363771426,-11.481945206698695,41.82235950024306
2011-02-17,16.19588984273132,-11.978913448047688,43.522076510422345
2011-02-18,17.955849796508527,-8.692397451873715,44.51491093436732
2011-02-19,21.92147813815345,-3.7088890886651065,46.56176112423926
2011-02-20,21.553559882844077,-4.877159523164114,49.630572522630004
2011-02-21,16.318043017514658,-8.925942425517349,44.42951346426743
2011-02-22,14.661518397790038,-12.745392201414804,43.291795996750594
2011-02-23,14.618578420079123,-13.463389831365149,41.090317266324384
2011-02-24,16.48176999688588,-10.345284396987687,44.00855309859072
2011-02-25,18.217062185233267,-6.212966827258311,44.32357573687943
2011-02-26,22.166949194254293,-5.3718191494425795,47.85841701130801
2011-02-27,21.753072869233016,-3.3627652121439353,47.914994158040166
2011-02-28,16.43870040077966,-9.357345665421457,43.824216487463
2011-03-01,14.721992674023639,-11.860704601826251,42.55742557267451
2011-03-02,14.626290866478111,-12.972411107902548,42.28763751340233
2011-03-03,16.44660682655521,-10.466089393862056,41.9816849377957
2011-03-04,18.137451951496082,-6.577257111846851,43.562078000948695
2011-03-05,22.056272184296443,-3.025727760447861,48.550983918436145
2011-03-06,21.586103444468986,-3.4340314883215743,48.07038134545235
2011-03-07,16.188023671026222,-12.456162235803712,42.822418764163295
2011-03-08,14.412186909297574,-12.041641324986252,42.83606858337386
2011-03-09,14.271014852201956,-13.49404101878184,40.06451370176476
2011-03-10,16.06220237879512,-9.556738995359021,43.30593044121348
2011-03-11,17.728887213109214,-8.520159109111331,45.11916724808897
2011-03-12,21.643399239529263,-5.410857150791502,46.61536309404558
2011-03-13,21.149934976607316,-6.0600207170548455,48.644955917691576
2011-03-14,15.70697469310427,-11.745184947505793,43.350708139668306
2011-03-15,13.91607835856888,-13.520731186418498,41.88637214319076
2011-03-16,13.777984218896272,-11.34831457654282,40.99224539833695
2011-03-17,15.592137932516483,-11.873542774544696,41.63946952900345
2011-03-18,17.289217958665745,-9.809932739696796,45.36916567703122
2011-03-19,21.255220579800895,-5.585439699563721,48.79429063365508
2011-03-20,20.794180934500503,-5.42209862998268,48.67287872904561
2011-03-21,15.360588294967235,-12.225808371027073,42.57788042667637
2011-03-22,13.605981755515362,-12.060892849339648,41.698313706506
2011-03-23,13.517997498882062,-14.965430326443668,39.761048057582826
2011-03-24,15.396465778387551,-11.181794799061418,42.70619293810687
2011-03-25,17.158337527964743,-9.04737374959134,43.02444528294769
2011-03-26,21.20215036540143,-5.259000333722341,49.319723796419424
2011-03-27,20.79083970620666,-7.507635614408921,47.2664036676117
2011-03-28,15.374192408452188,-12.657824455814126,41.306180574491876
2011-03-29,13.653277622235805,-13.14504952997706,41.52843390297424
