actual,predicted,std,lower_bound,upper_bound
4,0.87354052514628,0.01192590099343162,0.850165759199154,0.896915291093406
0,1.0205656090274455,0.006225363462877907,1.0083638966402049,1.0327673214146862
5,0.8380531879469494,0.008204169267800432,0.8219730161820605,0.8541333597118382
1,2.1380336105476796,0.03267693932715064,2.073986809466464,2.202080411628895
0,0.4660098334926633,0.00393251202299615,0.45830210992759085,0.4737175570577357
0,0.34429592464472997,0.0009037571884489709,0.34252456055537,0.34606728873408993
1,0.7534585831275339,0.01564960265831157,0.7227853619172432,0.7841318043378246
0,0.37909551272817127,0.0053507838303715975,0.3686079764206429,0.3895830490356996
0,0.38440972820094893,0.008300773896318845,0.36814021136416397,0.4006792450377339
1,0.8438263608371167,0.0216015740155614,0.8014872757666164,0.886165445907617
1,0.6414208210559776,0.009274012260994141,0.6232437570244291,0.6595978850875261
1,0.8151628420454783,0.02080801059219435,0.7743791412847774,0.8559465428061792
0,0.3496312165083439,0.008986958521286625,0.3320167778066221,0.3672456552100657
0,0.28014001799958566,0.005416163915368999,0.26952433672546244,0.29075569927370887
0,0.7367307542329078,0.011536752639607357,0.7141187190592774,0.7593427894065382
2,0.39431782074753047,0.005411252493912056,0.3837117658594628,0.4049238756355981
0,0.8470384635772602,0.00953440965238842,0.8283510206585789,0.8657259064959415
0,0.23539233739030782,0.006949131006663263,0.2217720406172478,0.24901263416336783
0,0.2512331313936473,0.009973321375518773,0.2316854214976305,0.27078084128966406
0,0.28383213138261887,0.0070160887538079225,0.27008059742515533,0.2975836653400824
1,0.9335919397953717,0.010010227012794732,0.9139718948502941,0.9532119847404493
1,1.1440068663611667,0.018731147188043123,1.1072938178726022,1.1807199148497312
2,0.618220830671751,0.01355245673647241,0.5916580154682651,0.644783645875237
1,1.179005861087557,0.0026021422804605563,1.1739056622178543,1.1841060599572595
0,0.41519742996925535,0.0010800528495138778,0.41308052638420817,0.41731433355430253
0,0.30365758588335456,0.0006235425425764723,0.30243544249990467,0.30487972926680446
0,0.4224144381770021,0.0025515689745365944,0.41741336298691034,0.4274155133670938
0,0.41916633644594564,0.0030461769905305988,0.4131958295445057,0.4251368433473856
0,0.3763883611446946,0.005305206619634113,0.36599015617021174,0.38678656611917744
0,0.7818799254855637,0.017777792005642234,0.7470354531545049,0.8167243978166225
1,1.1827741358104615,0.007569532697843026,1.1679378517226893,1.1976104198982338
3,1.057710260030441,0.011731671209797732,1.0347161844592376,1.0807043356016446
0,0.7288973793728433,0.01189121096127607,0.7055906058887422,0.7522041528569443
0,0.6989101726902446,0.009868072794162002,0.6795687500136871,0.718251595366802
2,3.3592014372018695,0.036613065158748695,3.287439829490722,3.430963044913017
0,2.7135330078119715,0.030091584649654893,2.654553501898648,2.772512513725295
0,10.571183628949473,0.1458769716187414,10.28526476457674,10.857102493322207
0,6.978877928769745,0.4125040888481454,6.17036991462738,7.787385942912111
0,3.852511683919303,0.048746243150867646,3.7569690473436026,3.948054320495004
0,4.33207068346946,0.03610465178855141,4.261305565963899,4.40283580097502
1,5.31936077630672,0.3569580697994844,4.619722959499731,6.018998593113709
9,3.4308735687499285,0.005022958055351467,3.4210285709614396,3.4407185665384175
1,0.577380879424852,0.003493678043115388,0.5705332704603457,0.5842284883893581
1,0.8635473099950334,0.02702516467752059,0.8105779872270931,0.9165166327629737
1,0.5685149524802765,0.007114948711017669,0.5545696530066819,0.5824602519538711
1,0.6546788785754032,0.024416874120362954,0.6068218052994918,0.7025359518513146
2,0.40570725528505397,0.0010642585855441613,0.4036213084573874,0.4077932021127205
1,0.6474127982392918,0.02075482152555216,0.6067333480492095,0.688092248429374
3,0.7562806443418485,0.010513547209263665,0.7356740918116917,0.7768871968720052
6,1.3255550487680308,0.005732733004272259,1.3143188920796571,1.3367912054564044
2,0.8318340822593581,0.010480407207236255,0.811292484133175,0.8523756803855411
2,1.1773811523228934,0.021359897180626846,1.1355157538488647,1.2192465507969221
0,1.8361857449860535,0.016962674867576258,1.802938902245604,1.869432587726503
1,1.0310749506858812,0.013212633752989773,1.0051781885300213,1.056971712841741
2,1.4074536658779684,0.007353159781399037,1.3930414727064262,1.4218658590495106
1,1.2086975920826557,0.003057238728696371,1.2027054041744107,1.2146897799909007
1,0.47426626734246824,0.007671032459131309,0.4592310437225709,0.4893014909623656
0,1.3686337824983867,0.008382549026272126,1.3522039864068933,1.3850635785898802
0,0.8389368965649259,0.01885601177474107,0.8019791134864334,0.8758946796434184
1,0.7248134565976265,0.01090940592064755,0.7034310209931574,0.7461958922020957
0,1.0334735622244917,0.017613253006096178,0.9989515863325432,1.0679955381164403
